x_coord,y_coord,pressure_bar,dist_to_ice_m,roll_deg,pitch_deg,timestamp_s
0.6,0.0,1.096,0.61,0.57,-0.78,0.0
1.2,0.0,1.105,0.59,1.14,0.49,0.5
1.8,0.0,1.101,0.62,-0.73,-0.78,1.0
2.4,0.0,1.104,0.62,-0.65,-0.69,1.5
3.0,0.0,1.104,0.62,0.06,0.26,2.0
3.6,0.0,1.097,0.59,-0.37,-0.25,2.5
4.2,0.0,1.104,0.61,-0.74,-0.44,3.0
4.8,0.0,1.102,0.62,0.56,0.3,3.5
5.4,0.0,1.096,0.6,0.41,0.15,4.0
6.0,0.0,1.099,0.62,1.06,0.29,4.5
6.6,0.0,1.097,0.59,-0.76,-0.67,5.0
7.2,0.0,1.097,0.62,-0.65,0.2,5.5
7.8,0.0,1.097,0.58,1.04,0.19,6.0
8.4,0.0,1.095,0.62,0.36,0.03,6.5
9.0,0.0,1.099,0.62,0.96,-0.63,7.0
9.6,0.0,1.105,0.59,0.73,0.56,7.5
10.2,0.0,1.102,0.58,1.08,-0.13,8.0
10.8,0.0,1.105,0.59,0.39,-0.78,8.5
11.4,0.0,1.097,0.6,-0.41,-0.35,9.0
12.0,0.0,1.102,0.58,1.15,0.51,9.5
12.6,0.0,1.097,0.59,0.95,-0.16,10.0
13.2,0.0,1.102,0.62,0.67,0.4,10.5
13.8,0.0,1.096,0.58,0.23,-0.49,11.0
14.4,0.0,1.1,0.59,-0.27,0.25,11.5
15.0,0.0,1.104,0.6,-0.22,-0.12,12.0
15.6,0.0,1.097,0.58,0.57,0.6,12.5
16.2,0.0,1.103,0.61,0.41,0.63,13.0
16.8,0.0,1.101,0.58,0.4,0.72,13.5
17.4,0.0,1.098,0.6,0.17,-0.74,14.0
18.0,0.0,1.105,0.59,0.85,0.45,14.5
18.6,0.0,1.096,0.58,0.94,-0.58,15.0
19.2,0.0,1.098,0.59,0.48,0.68,15.5
19.8,0.0,1.1,0.61,-0.81,0.76,16.0
20.4,0.0,1.096,0.59,-0.59,0.75,16.5
21.0,0.0,1.103,0.58,0.46,0.14,17.0
21.6,0.0,1.102,0.59,0.5,0.38,17.5
22.2,0.0,1.104,0.62,1.11,0.77,18.0
22.8,0.0,1.103,0.6,1.16,0.02,18.5
23.4,0.0,1.097,0.59,1.09,0.17,19.0
24.0,0.0,1.099,0.59,0.26,-0.19,19.5
24.6,0.0,1.096,0.59,0.35,0.62,20.0
25.2,0.0,1.103,0.59,-0.74,-0.54,20.5
25.8,0.0,1.095,0.61,-1.0,0.09,21.0
26.4,0.0,1.103,0.59,-0.15,-0.07,21.5
27.0,0.0,1.101,0.6,-0.89,0.58,22.0
27.6,0.0,1.1,0.61,1.07,0.47,22.5
28.2,0.0,1.102,0.61,-0.1,-0.08,23.0
28.8,0.0,1.101,0.61,-0.23,0.72,23.5
29.4,0.0,1.099,0.59,-0.08,0.16,24.0
30.0,0.0,1.1,0.58,-0.8,-0.67,24.5
30.6,0.0,1.104,0.61,0.08,-0.63,25.0
31.2,0.0,1.098,0.62,1.19,0.57,25.5
31.8,0.0,1.097,0.62,0.85,-0.63,26.0
32.4,0.0,1.099,0.58,-0.42,0.35,26.5
33.0,0.0,1.102,0.6,-0.57,-0.27,27.0
33.6,0.0,1.099,0.62,-0.78,-0.68,27.5
34.2,0.0,1.101,0.61,-0.88,-0.78,28.0
34.8,0.0,1.099,0.61,-0.64,-0.5,28.5
35.4,0.0,1.105,0.59,-0.87,-0.07,29.0
36.0,0.0,1.097,0.61,0.52,-0.65,29.5
36.6,0.0,1.1,0.59,1.16,-0.39,30.0
37.2,0.0,1.098,0.59,-0.16,-0.66,30.5
37.8,0.0,1.097,0.58,0.88,-0.05,31.0
38.4,0.0,1.102,0.59,-0.78,0.55,31.5
39.0,0.0,1.101,0.61,0.88,0.48,32.0
39.6,0.0,1.1,0.58,-0.96,-0.36,32.5
40.2,0.0,1.103,0.61,0.49,0.6,33.0
40.8,0.0,1.097,0.61,0.46,-0.54,33.5
